Año,Oro,Plata,Año_Num,Mes,Nombre_Mes
2025-02-01,6370.0,355181.0,2025,2,February
2025-01-01,6482.0,344957.0,2025,1,January
2024-12-01,6553.0,356693.0,2024,12,December
2024-11-01,5274.0,296676.0,2024,11,November
2024-10-01,5632.0,304708.0,2024,10,October
2024-09-01,5507.0,332503.0,2024,9,September
2024-08-01,5374.0,317532.0,2024,8,August
2024-07-01,5117.0,315682.0,2024,7,July
2024-06-01,5305.0,346387.0,2024,6,June
2024-05-01,5463.0,344500.0,2024,5,May
2024-04-01,6673.0,341207.0,2024,4,April
2024-03-01,7204.0,333667.0,2024,3,March
2024-02-01,6697.0,317471.0,2024,2,February
2024-01-01,6707.0,296794.0,2024,1,January
2023-12-01,5756.0,268956.0,2023,12,December
2023-11-01,5771.0,290520.0,2023,11,November
2023-10-01,5465.0,278118.0,2023,10,October
2023-09-01,5449.0,259336.0,2023,9,September
2023-08-01,5454.0,265036.0,2023,8,August
2023-07-01,5025.0,265227.0,2023,7,July
2023-06-01,5369.0,279593.0,2023,6,June
2023-05-01,5632.0,349726.0,2023,5,May
2023-04-01,5229.0,348530.0,2023,4,April
2023-03-01,7471.0,339904.0,2023,3,March
2023-02-01,6650.0,327310.0,2023,2,February
2023-01-01,6788.0,320953.0,2023,1,January
2022-12-01,7092.0,325758.0,2022,12,December
2022-11-01,6833.0,321833.0,2022,11,November
2022-10-01,6795.0,309679.0,2022,10,October
2022-09-01,7003.0,316155.0,2022,9,September
2022-08-01,6753.0,321915.0,2022,8,August
2022-07-01,6229.0,318173.0,2022,7,July
2022-06-01,7074.0,345728.0,2022,6,June
2022-05-01,6574.0,347215.0,2022,5,May
2022-04-01,6416.0,329963.0,2022,4,April
2022-03-01,7341.0,343272.0,2022,3,March
2022-02-01,7354.0,334821.0,2022,2,February
2022-01-01,8018.0,326817.0,2022,1,January
2021-12-01,6982.0,341162.0,2021,12,December
2021-11-01,7012.0,331052.0,2021,11,November
2021-10-01,7015.0,322521.0,2021,10,October
2021-09-01,7365.0,358450.0,2021,9,September
2021-08-01,6814.0,342267.0,2021,8,August
2021-07-01,6535.0,364295.0,2021,7,July
2021-06-01,6585.0,364166.0,2021,6,June
2021-05-01,6384.0,355440.0,2021,5,May
2021-04-01,6254.0,358910.0,2021,4,April
2021-03-01,6905.0,363431.0,2021,3,March
2021-02-01,6306.0,344260.0,2021,2,February
2021-01-01,6832.0,330001.0,2021,1,January
2020-12-01,7537.0,366172.0,2020,12,December
2020-11-01,6541.0,325364.0,2020,11,November
2020-10-01,6947.0,309212.0,2020,10,October
2020-09-01,6115.0,288609.0,2020,9,September
2020-08-01,6871.0,389930.0,2020,8,August
2020-07-01,6117.0,367002.0,2020,7,July
2020-06-01,5602.0,327389.0,2020,6,June
2020-05-01,3930.0,251399.0,2020,5,May
2020-04-01,4566.0,203234.0,2020,4,April
2020-03-01,6165.0,347102.0,2020,3,March
2020-02-01,5637.0,307516.0,2020,2,February
2020-01-01,5676.0,326215.0,2020,1,January
2019-12-01,6607.0,350473.0,2019,12,December
2019-11-01,5961.0,304276.0,2019,11,November
2019-10-01,5892.0,258896.0,2019,10,October
2019-09-01,5781.0,308044.0,2019,9,September
2019-08-01,6623.0,329494.0,2019,8,August
2019-07-01,6262.0,279666.0,2019,7,July
